id,name,ruby,site,address,label,education,course,tel,lat,lng,near,course1,course2,course3,course4,course5,course6
0,アサンプション国際高等学校,あさんぷしょんこくさいこうとうがっこう,https://www.assumption.ed.jp/jsh/,大阪府箕面市如意谷1-13-23,私立,共学校,普通科,072-721-3080,34.836591,135.478682,阪急箕面線「箕面」徒歩約15分／阪急千里線「北千里」からスクールバス／北大阪急行・大阪モノレール「千里中央」から阪急バス「如意谷住宅前」下車徒歩約2分・「第二中学校口」下車徒歩約5分,普通科,,,,,
1,アナン学園高等学校,あなんがくえんこうとうがっこう,https://www.anangakuen.ed.jp/,大阪府東大阪市若江西新町3-1-8,私立,共学校,看護科（5年一貫教育）、調理科,06-6723-5511,34.656545,135.596929,近鉄奈良線「八戸野ノ里」南東徒歩約15分,看護科（5年一貫教育）,調理科,,,,
2,あべの翔学高等学校,あべのしょうまなぶこうとうがっこう,http://www.abeno-shogaku.ed.jp,大阪府大阪市阿倍野区天王寺町南2-8-19,私立,共学校,普通科,06-6719-2801,34.642423,135.525329,近鉄南大阪線「河堀口」180ｍ／JR阪和線「美章園」600ｍ／JR環状線「寺田町」700ｍ,普通科,,,,,
3,上宮高等学校,うえみやこうとうがっこう,http://www.uenomiya.ed.jp,大阪府大阪市天王寺区上之宮町9-36,私立,共学校,普通科,06-6771-5701,34.661188,135.519676,大阪メトロ谷町線・千日前線「谷町九丁目」徒歩10分／JR大阪環状線「桃谷」徒歩12分／近鉄「大阪上本町」徒歩6分／大阪市バス62号系統「上本町八丁目」下車徒歩2分,普通科,,,,,
4,上宮太子高等学校,うえのみやたいしこうとうがっこう,http://www.uenomiya-taishi.ed.jp,大阪府大阪府南河内郡太子町太子1053,私立,共学校,普通科,0721-98-3611,34.51615,135.637405,近鉄長野線「喜志」・近鉄南大阪線「上ノ太子」・JR大和路線「高井田」・近鉄大阪線「河内国分」・南海高野線「金剛」からスクールバス,普通科,,,,,
5,ヴェリタス城星学園高等学校,う゛ぇりたすじょうせいがくえんこうとうがっこう,http://www.josei.ed.jp/,大阪府大阪市中央区玉造2-23-26,私立,女子校,普通科,06-6941-5977,34.678156,135.527971,JR環状線「玉造」・「森ノ宮」徒歩約10分／大阪メトロ「玉造」徒歩約6分／大阪メトロ「森ノ宮」徒歩約10分／大阪市バス「玉造二丁目」下車徒歩約3分,普通科,,,,,
6,英真学園高等学校,えいしんがくえんこうとうがっこう,http://www.eishingakuen.ac.jp,大阪府大阪市淀川区十三東5-4-38,私立,共学校,普通科,06-6303-2181,34.723726,135.483438,阪急「十三」東口徒歩5分,普通科,,,,,
7,英風高等学校,えいふうこうとうがっこう,https://eifu.ed.jp/,大阪府大阪市福島区吉野4-13-4,私立,女子校,通信制,0120-8120-78,34.688457,135.471624,JR環状線「野田」徒歩約3分／JR東西線「海老江」徒歩約13分／大阪メトロ千日前線「玉川」徒歩約5分／阪神本線「野田」徒歩約13分,通信制,,,,,
8,追手門学院高等学校,おうてもんがくいんこうとうがっこう,https://www.otemon-jh.ed.jp,大阪府茨木市太田東芝町1-1,私立,共学校,普通科,072-697-8185,34.838221,135.577174,JR京都線「総持寺」徒歩15分／阪急京都線「総持寺」徒歩25分／阪急京都線「茨木市」から近鉄バス「追大総持寺キャンパス前」・「追手門学院中・高前」下車すぐ,普通科,,,,,
9,追手門学院大手前高等学校,おうてもんがくいんおおてまえこうとうがっこう,https://www.otemon-js.ed.jp/,大阪府大阪市中央区大手前1-3-20,私立,共学校,普通科,06-6942-2235,34.689318,135.520704,京阪本線・大阪メトロ谷町線「天満橋」徒歩5分／JR東西線「大阪城北詰」徒歩10分,普通科,,,,,
10,大阪高等学校,おおさかこうとうがっこう,http://www.osakashs.ed.jp/,大阪府大阪市東淀川区相川2-18-51,私立,共学校,普通科,06-6340-3031,34.759083,135.534953,阪急京都線「相川」徒歩すぐ／JR京都線「吹田」下車徒歩15分／大阪メトロ今里筋線「井高野」徒歩12分,普通科,,,,,
11,大阪偕星学園高等学校,おおさかかいせいがくえんこうとうがっこう,http://www.osaka-kaisei.ac.jp,大阪府大阪市生野区勝山南2-6-38,私立,共学校,普通科,06-6716-0003,34.65255,135.530172,JR大阪環状線「桃谷」「寺田町」徒歩10分,普通科,,,,,
12,大阪学院大学高等学校,おおさかがくいんだいがくこうとうがっこう,http://www.ogu-h.ed.jp/,大阪府吹田市岸辺南2-6-1,私立,共学校,普通科,06-6381-6661,34.774764,135.54137,JR京都線「岸辺」徒歩2分／阪急京都線「正雀」徒歩7分,普通科,,,,,
13,大阪学芸高等学校,おおさかがくげいこうとうがっこう,https://www.osakagakugei.ac.jp/senior/,大阪府大阪市住吉区長居1-4-15,私立,共学校,普通科,06-6693-6301,34.61537,135.512123,JR阪和線「長居」徒歩6分、JR阪和線「鶴ヶ丘」徒歩8分、大阪メトロ御堂筋線「長居」徒歩7分、大阪メトロ御堂筋線「西田辺」徒歩10分,普通科,,,,,
14,大阪暁光高等学校,おおさかぎょうこうこうとうがっこう,https://www.osakagyoko.ed.jp/,大阪府河内長野市楠町西1090,私立,共学校,看護科、看護専攻科、普通科,0721-53-5281,34.470816,135.561096,南海高野線「千代田」北西徒歩8分,看護科,看護専攻科,普通科,,,
15,大阪薫英女学院高等学校,おおさかくんえいじょがくいんこうとうがっこう,https://www.kun-ei.jp/,大阪府摂津市正雀1-4-1,私立,女子校,国際科、普通科,06-6381-5381,34.778372,135.549926,阪急京都線「正雀」徒歩5分／JR「岸辺」徒歩10分／大阪モノレール「摂津」徒歩15分,国際科,普通科,,,,
16,大阪国際高等学校,おおさかこくさいこうとうがっこう,https://www.kokusai-h.oiu.ed.jp,大阪府守口市松下町1-28,私立,共学校,普通科,06-6992-5931,34.72952,135.56767,京阪「土居」徒歩8分・京阪「守口」徒歩10分・今里筋線「清水」徒歩12分・谷町線「太子橋今市」徒歩14分・大阪シティバス「滝井」徒歩7分,普通科,,,,,
17,大阪金剛インターナショナル高等学校,おおさかこんごういんたーなしょなるこうとうがっこう,http://www.kongogakuen.ed.jp,大阪府大阪市住之江区南港北2-6-10,私立,共学校,普通科,06-4703-1780,34.639535,135.407342,大阪メトロ中央線「コスモスクエア」徒歩15分／ニュートラム「トレードセンター前」徒歩7分,普通科,,,,,
18,大阪産業大学附属高等学校,おおさかさんぎょうだいがくふぞくこうとうがっこう,http://www.osaka-sandai.ed.jp/,大阪府大阪市城東区古市1-20-26,私立,共学校,国際科、普通科,06-6939-1491,34.708851,135.558921,大阪メトロ長堀鶴見緑地線「今福鶴見」徒歩7分／大阪メトロ今里筋線「新森古市」徒歩7分／京阪本線「関目」徒歩15分／大阪市シティバス86号系統「鶴見六丁目」下車すぐ,国際科,普通科,,,,
19,大阪商業大学高等学校,おおさかしょうぎょうだいがくこうとうがっこう,http://www.daishodai-h.ed.jp,大阪府東大阪市御厨栄町4-1-10,私立,共学校,普通科,06-6781-3050,34.666876,135.585732,近鉄奈良線「八戸ノ里」徒歩4分・「河内小阪」北東徒歩8分／大阪メトロ中央線「長田」徒歩20分／JR学研都市線「徳庵」からバス「商業大学前」・「鴻池新田」からバス「商業大学前」下車すぐ,普通科,,,,,
20,大阪商業大学堺高等学校,おおさかしょうぎょうだいがくさかいこうとうがっこう,http://www.shodaisakai.ac.jp,大阪府堺市中区堀上町358,私立,共学校,普通科,072-278-2252,34.528067,135.48699,JR「津久野」からバス「八田寺公園前」または「堀上」下車すぐ／泉北高速鉄道「深井」下車徒歩15分,普通科,,,,,
21,大阪女学院高等学校,おおさかじょがくいんこうとうがっこう,http://www.osaka-jogakuin.ed.jp,大阪府大阪市中央区玉造2-26-54,私立,女子校,英語科、普通科,06-6761-4113,34.675871,135.527667,大阪メトロ長堀鶴見緑地線「玉造」1番出口西徒歩3分／JR環状線「玉造」西500ｍ／大阪メトロ中央線「森ノ宮」南西700ｍ／大阪市バス「清水谷高校前」下車北100ｍ,英語科,普通科,,,,
22,大阪信愛学院高等学校,おおさかしんあいがくいんこうとうがっこう,http://www.osaka-shinai.ac.jp,大阪府大阪市城東区古市2-7-30,私立,共学校,普通科,06-6939-4391,34.711171,135.557762,京阪本線「関目」徒歩15分、大阪メトロ長堀鶴見緑地線「今福鶴見」徒歩15分、大阪メトロ谷町線「関目高殿」徒歩18分、大阪メトロ今里筋線「新森古市」徒歩5分,普通科,,,,,
23,大阪成蹊女子高等学校,おおさかせいけいじょしこうとうがっこう,http://high.osaka-seikei.ac.jp,大阪府大阪市東淀川区相川3-10-62,私立,女子校,美術科、普通科,06-6829-2510,34.759108,135.537472,阪急京都線「相川」東徒歩約4分／大阪メトロ今里筋線・JR京都線「吹田」からスクールバス,美術科,普通科,,,,
